Athlete,Meet Info,Lane_Place,Wind,Date,RT,50m,100m,150m,200m,Time,0-100m,100-200m,Differential,Vel_50m,Vel_100m,Vel_150m,Vel_200m,Vel_0_100m,Vel_100_200m,StrideRate,Source,Ath_Mt_Strd
,,,,RT,,,,,,,,,,,,,,,,,,None_None
"Tebogo, Letsile (BOT) (2003)","FINAL - 2023 Athletissima (Lausanne, SUI)",7 / 1,-1.4 m/s,30-Jun-23,0.172,5.75,10.36,15.03,20.01,20.01,10.36,9.65,-0.71,8.7,10.85,10.71,10.04,9.65,10.36,85.0,Omega Timing (2023) - diamond league race analysis,"Tebogo, Letsile (BOT) (2003)_FINAL - 2023 Athletissima (Lausanne, SUI)_85"
"Teplykh, Ivan (RUS) (1985)","Quarter-Final 4 - 2007 IAAF World Championships (Osaka, JPN)",3 / 6,0.6 m/s,28-Aug-07,0.164,6.0,10.73,15.68,20.98,20.98,10.73,10.25,-0.48,8.33,10.57,10.1,9.43,9.32,9.76,,Tsuchie (2010) - run speed of the men's 200m at the 2007 Osaka World Champs,"Teplykh, Ivan (RUS) (1985)_Quarter-Final 4 - 2007 IAAF World Championships (Osaka, JPN)"
"Thomas, Chris (USA) (1981)","B FINAL - 2007 Windsprint (Sundsvall, SWE)",4 / 3,0.9 m/s,24-Jul-07,,11.24,16.32,22.17,22.17,43.0,16.32,5.85,-10.47,8.9,9.84,8.55,9.02,6.13,17.09,,(2007) - www.ssg.se/en/Windsprint/Split-times/,"Thomas, Chris (USA) (1981)_B FINAL - 2007 Windsprint (Sundsvall, SWE)"
"Thomas, Max (USA) (2004)","Semi-Final 3 - 2024 USA Olympic Trials (Eugene, OR)",5 / 8,2.5 m/s,28-Jun-24,,5.93,10.74,15.62,20.81,20.81,10.74,10.07,-0.67,8.43,10.4,10.25,9.63,9.31,9.93,,USATF and Karmarush (2024) - USA Olympic trials results and race analysis,"Thomas, Max (USA) (2004)_Semi-Final 3 - 2024 USA Olympic Trials (Eugene, OR)"
"Thomas, Max (USA) (2004)","Heat 3 - 2024 USA Olympic Trials (Eugene, OR)",9 /  4  3,1.1 m/s,27-Jun-24,,5.96,10.78,15.57,20.73,20.73,10.78,9.95,-0.83,8.39,10.37,10.44,9.69,9.28,10.05,,USATF and Karmarush (2024) - USA Olympic trials results and race analysis,"Thomas, Max (USA) (2004)_Heat 3 - 2024 USA Olympic Trials (Eugene, OR)"
"Thompson, Derrick (USA) (1973)","Heat 3 - 1996 USA Olympic Trials (Atlanta, GA)",/ 5,0.9 m/s,21-Jun-96,,10.53,21.06,21.06,5.0,5.0,21.06,-16.06,-37.12,9.5,9.5,9.5,9.5,4.75,,,,"Thompson, Derrick (USA) (1973)_Heat 3 - 1996 USA Olympic Trials (Atlanta, GA)"
"Thompson, Obadele (BAR) (1976)","FINAL - 1999 IAAF World Championships (Sevilla, ESP)",7 / 4,1.2 m/s,27-Aug-99,0.134,5.82,10.31,15.07,20.11,20.23,10.31,9.8,-0.51,8.59,11.14,10.5,9.92,9.7,10.2,,"Ferro (2001) - biomechanical analysis of the 7th world championships, seville 1999","Thompson, Obadele (BAR) (1976)_FINAL - 1999 IAAF World Championships (Sevilla, ESP)"
"Thompson, Obadele (BAR) (1976)","FINAL - 1997 IAAF World Championships (Athens, GRE)",2 / 6,2.3 m/s,08-Aug-97,0.184,5.75,10.31,15.11,20.19,20.37,10.31,9.88,-0.43,8.7,10.96,10.42,9.84,9.7,10.12,,"Ferro (2001) - biomechanical analysis of the 7th world championships, seville 1999","Thompson, Obadele (BAR) (1976)_FINAL - 1997 IAAF World Championships (Athens, GRE)"
"Thompson, Obadele (BAR) (1976)","FINAL - 1996 Olympic Games (Atlanta, GA)",8 / 4,0.4 m/s,01-Aug-96,0.202,10.34,20.14,20.14,84.0,84.0,20.14,63.86,43.72,9.67,10.2,9.93,86.2,4.97,1.57,,"Ferro (2001) - biomechanical analysis of the 7th world championships, seville 1999","Thompson, Obadele (BAR) (1976)_FINAL - 1996 Olympic Games (Atlanta, GA)"
Tian Haoyu (CHN) (2004),"U20 FINAL - 2022 Shandong Provincial Games (Rizhao, CHN)",7 / 3,0.2 m/s,03-Sep-22,0.138,11.21,16.36,21.8,21.8,73.0,16.36,5.44,-10.92,8.92,9.71,9.19,9.17,6.11,18.38,,,"Tian Haoyu (CHN) (2004)_U20 FINAL - 2022 Shandong Provincial Games (Rizhao, CHN)"
Tian Junhao (CHN) (2000),"Heat 3 - 2024 Chinese National Championships (Quzhou, CHN)",5 / 3,0.5 m/s,14-Sep-24,0.174,10.8,15.83,21.17,21.17,53.0,15.83,5.34,-10.49,9.26,9.94,9.36,9.45,6.32,18.73,88.0,,"Tian Junhao (CHN) (2000)_Heat 3 - 2024 Chinese National Championships (Quzhou, CHN)_88"
Tian Junhao (CHN) (2000),"FINAL - 2024 Chinese National Grand Prix Final (Rizhao, CHN)",4 / 6,0.8 m/s,30-Jun-24,0.159,10.93,15.91,21.17,21.17,46.0,15.91,5.26,-10.65,9.15,10.04,9.51,9.45,6.29,19.01,88.0,,"Tian Junhao (CHN) (2000)_FINAL - 2024 Chinese National Grand Prix Final (Rizhao, CHN)_88"
Tian Junhao (CHN) (2000),"Heat 1 - 2024 Chinese National Grand Prix Final (Rizhao, CHN)",7 / 2,0.2 m/s,29-Jun-24,0.188,10.85,15.86,21.07,21.07,72.0,15.86,5.21,-10.65,9.22,9.98,9.6,9.49,6.31,19.19,88.0,,"Tian Junhao (CHN) (2000)_Heat 1 - 2024 Chinese National Grand Prix Final (Rizhao, CHN)_88"
Tian Junhao (CHN) (2000),"FINAL - 2024 Second Belt & Road Invitational Athletics Meeting (Chongqing, CHN)",3 / 6,-0.5 m/s,29-May-24,0.184,10.87,15.87,21.15,21.15,36.0,15.87,5.28,-10.59,9.2,10.0,9.47,9.46,6.3,18.94,,,"Tian Junhao (CHN) (2000)_FINAL - 2024 Second Belt & Road Invitational Athletics Meeting (Chongqing, CHN)"
Tian Junhao (CHN) (2000),"Heat 2 - 2023 Chinese World Championship & Asian Games Trials (Shenyang, CHN)",8 / 3,-0.1 m/s,28-Jun-23,0.18,10.61,15.57,20.99,20.99,83.0,15.57,5.42,-10.15,9.43,10.08,9.23,9.53,6.42,18.45,86.0,,"Tian Junhao (CHN) (2000)_Heat 2 - 2023 Chinese World Championship & Asian Games Trials (Shenyang, CHN)_86"
Tian Junhao (CHN) (2000),"FINAL - 2023 Chinese National Grand Prix 4 (Chongqing, CHN)",4 / 1,-0.5 m/s,04-Jun-23,0.168,10.9,15.96,21.36,21.36,41.0,15.96,5.4,-10.56,9.17,9.88,9.26,9.36,6.27,18.52,,,"Tian Junhao (CHN) (2000)_FINAL - 2023 Chinese National Grand Prix 4 (Chongqing, CHN)"
Tian Junhao (CHN) (2000),"Heat 10 - 2023 Chinese National Grand Prix 4 (Chongqing, CHN)",7 / 1,0.3 m/s,03-Jun-23,0.161,10.86,15.82,21.05,21.05,71.0,15.82,5.23,-10.59,9.21,10.08,9.56,9.5,6.32,19.12,91.0,,"Tian Junhao (CHN) (2000)_Heat 10 - 2023 Chinese National Grand Prix 4 (Chongqing, CHN)_91"
"Tilli, Stefano (ITA) (1962)","FINAL - 1991 European Cup (Frankfurt, GER)",/ 3,-1.6 m/s,30-Jun-91,,10.69,20.79,20.79,3.0,3.0,20.79,-17.79,-38.58,9.35,9.9,9.62,9.35,4.81,,,Federle (2003) - http://www.fgs.uni-halle.de,"Tilli, Stefano (ITA) (1962)_FINAL - 1991 European Cup (Frankfurt, GER)"
"Tilli, Stefano (ITA) (1962)","FINAL - 1989 IAAF World Cup (Barcelona, ESP)",/ 4,1.9 m/s,10-Sep-89,0.157,10.54,15.35,20.41,20.41,4.0,15.35,5.06,-10.29,9.49,10.4,9.88,9.8,6.51,19.76,,Federle (2003) - http://www.fgs.uni-halle.de,"Tilli, Stefano (ITA) (1962)_FINAL - 1989 IAAF World Cup (Barcelona, ESP)"
"Tilli, Stefano (ITA) (1962)","Semi-Final 1 - 1988 Olympic Games (Seoul, KOR)",2 / 5,1.5 m/s,28-Sep-88,0.185,5.86,10.55,15.43,20.59,20.59,10.55,10.04,-0.51,8.53,10.66,10.25,9.69,9.48,9.96,,Federle (2003) - http://www.fgs.uni-halle.de,"Tilli, Stefano (ITA) (1962)_Semi-Final 1 - 1988 Olympic Games (Seoul, KOR)"
"Tilli, Stefano (ITA) (1962)","Semi-Final 2 - 1984 Olympic Games (Los Angeles, CA)",5 / 6,0.7 m/s,08-Aug-84,,10.45,20.72,20.72,56.0,56.0,20.72,35.28,14.56,9.57,9.74,9.65,9.57,4.83,2.83,,Federle (2003) - http://www.fgs.uni-halle.de,"Tilli, Stefano (ITA) (1962)_Semi-Final 2 - 1984 Olympic Games (Los Angeles, CA)"
"Tilli, Stefano (ITA) (1962)","Heat 9 - 1984 Olympic Games (Los Angeles, CA)",7 / 1,1.5 m/s,06-Aug-84,,10.43,20.72,20.72,71.0,71.0,20.72,50.28,29.56,9.59,9.72,9.65,9.59,4.83,1.99,,Federle (2003) - http://www.fgs.uni-halle.de,"Tilli, Stefano (ITA) (1962)_Heat 9 - 1984 Olympic Games (Los Angeles, CA)"
"Tippett, Tyson (USA) (2003)","Heat 4 - 2024 USA Olympic Trials (Eugene, OR)",8 / 7,1.2 m/s,27-Jun-24,,6.11,10.9,15.87,20.97,20.97,10.9,10.07,-0.83,8.18,10.44,10.06,9.8,9.17,9.93,,USATF and Karmarush (2024) - USA Olympic trials results and race analysis,"Tippett, Tyson (USA) (2003)_Heat 4 - 2024 USA Olympic Trials (Eugene, OR)"
"Tokunaga, Daichi (JPN) (1991)","FINAL - 2009 Japanese National High School Championships (Nara, JPN)",1 / 8,1.6 m/s,01-Aug-09,,11.17,16.29,21.67,21.67,18.0,16.29,5.38,-10.91,8.95,9.77,9.29,9.23,6.14,18.59,,,"Tokunaga, Daichi (JPN) (1991)_FINAL - 2009 Japanese National High School Championships (Nara, JPN)"
"Tolbert, Rod (USA) (1967)","Quarter-Final 3 - 1996 USA Olympic Trials (Atlanta, GA)",/ 7,0.7 m/s,22-Jun-96,,10.57,20.8,20.8,7.0,7.0,20.8,-13.8,-34.6,9.46,9.78,9.62,9.46,4.81,,,,"Tolbert, Rod (USA) (1967)_Quarter-Final 3 - 1996 USA Olympic Trials (Atlanta, GA)"
"Tolbert, Rod (USA) (1967)","Heat 4 - 1996 USA Olympic Trials (Atlanta, GA)",/ 7,0.9 m/s,21-Jun-96,,10.58,20.71,20.71,7.0,7.0,20.71,-13.71,-34.42,9.45,9.87,9.66,9.45,4.83,,,,"Tolbert, Rod (USA) (1967)_Heat 4 - 1996 USA Olympic Trials (Atlanta, GA)"
"Tomizawa, Ryosuke (JPN) (2001)","FINAL - 2018 Japanese National Youth (U18) Championships (Nagano, JPN)",1 / 8,0.1 m/s,21-Oct-18,0.264,6.43,11.41,16.52,21.94,21.94,11.41,10.53,-0.88,7.78,10.04,9.78,9.23,8.76,9.5,95.0,,"Tomizawa, Ryosuke (JPN) (2001)_FINAL - 2018 Japanese National Youth (U18) Championships (Nagano, JPN)_95"
"Tömmervik, Sindre (NOR) (1997)","H FINAL - 2014 Windsprint (Sundsvall, SWE)",5 / 2,2.5 m/s,20-Jul-14,,12.87,24.93,24.93,52.0,52.0,24.93,27.07,2.14,7.77,8.29,8.02,7.77,4.01,3.69,,Johansen (2014) - www.ssg.se/windsprint/Splittider/,"Tömmervik, Sindre (NOR) (1997)_H FINAL - 2014 Windsprint (Sundsvall, SWE)"
"Torrieri, Marco (ITA) (1978)","FINAL - 2002 European Championships (Munich, GER)",/ 6,-0.5 m/s,09-Aug-02,0.148,5.95,10.7,15.5,20.68,20.66,10.7,9.98,-0.72,8.4,10.53,10.42,9.65,9.35,10.02,,Graubner (2009) - http://www.fgs.uni-halle.de,"Torrieri, Marco (ITA) (1978)_FINAL - 2002 European Championships (Munich, GER)"
"Torrieri, Marco (ITA) (1978)","Semi-Final 1 - 2002 European Championships (Munich, GER)",/ 4,-0.5 m/s,09-Aug-02,0.184,6.0,10.75,15.59,20.78,20.78,10.75,10.03,-0.72,8.33,10.53,10.33,9.63,9.3,9.97,,Graubner (2009) - http://www.fgs.uni-halle.de,"Torrieri, Marco (ITA) (1978)_Semi-Final 1 - 2002 European Championships (Munich, GER)"
"Torrieri, Marco (ITA) (1978)","Quarter-Final 1 - 2002 European Championships (Munich, GER)",/  3  2,-1.8 m/s,08-Aug-02,0.142,5.97,10.68,15.61,20.9,20.9,10.68,10.22,-0.46,8.38,10.62,10.14,9.45,9.36,9.78,,Graubner (2009) - http://www.fgs.uni-halle.de,"Torrieri, Marco (ITA) (1978)_Quarter-Final 1 - 2002 European Championships (Munich, GER)"
"Tortu, Filippo (ITA) (1998)","FINAL - 2025 Jetour Doha Meeting (Doha, QAT)",4 / 5,0.7 m/s,16-May-25,0.168,5.85,10.53,15.28,20.41,20.41,10.53,9.88,-0.65,8.55,10.68,10.53,9.75,9.5,10.12,,Omega Timing (2025) - diamond league race analysis,"Tortu, Filippo (ITA) (1998)_FINAL - 2025 Jetour Doha Meeting (Doha, QAT)"
"Tortu, Filippo (ITA) (1998)","Semi-Final 3 - 2024 Olympic Games (Paris, FRA)",5 / 4,-0.6 m/s,07-Aug-24,0.176,5.95,10.56,15.38,20.54,20.54,10.56,9.98,-0.58,8.4,10.85,10.37,9.69,9.47,10.02,86.0,Omega Timing (2025) - diamond league race analysis,"Tortu, Filippo (ITA) (1998)_Semi-Final 3 - 2024 Olympic Games (Paris, FRA)_86"
"Tortu, Filippo (ITA) (1998)","Heat 3 - 2024 Olympic Games (Paris, FRA)",8 / 3,-0.1 m/s,05-Aug-24,0.17,5.93,10.52,15.26,20.29,20.29,10.52,9.77,-0.75,8.43,10.89,10.55,9.94,9.51,10.24,86.0,Omega Timing (2025) - diamond league race analysis,"Tortu, Filippo (ITA) (1998)_Heat 3 - 2024 Olympic Games (Paris, FRA)_86"
"Tortu, Filippo (ITA) (1998)","FINAL - 2024 Herculis Meeting International d'Athlétisme (Monaco, MON)",5 / 5,0.6 m/s,12-Jul-24,0.199,5.94,10.53,15.31,20.43,20.43,10.53,9.9,-0.63,8.42,10.89,10.46,9.77,9.5,10.1,,Omega Timing (2024) - diamond league race analysis,"Tortu, Filippo (ITA) (1998)_FINAL - 2024 Herculis Meeting International d'Athlétisme (Monaco, MON)"
"Tortu, Filippo (ITA) (1998)","FINAL - 2024 Meeting de Paris (Paris, FRA)",4 / 4,-0.4 m/s,07-Jul-24,0.164,5.91,10.52,15.37,20.53,20.53,10.52,10.01,-0.51,8.46,10.85,10.31,9.69,9.51,9.99,,Omega Timing (2024) - diamond league race analysis,"Tortu, Filippo (ITA) (1998)_FINAL - 2024 Meeting de Paris (Paris, FRA)"
"Tortu, Filippo (ITA) (1998)","FINAL - 2023 Memorial van Damme (Brussels, BEL)",8 / 6,-0.1 m/s,08-Sep-23,0.182,5.88,10.44,15.2,20.3,20.3,10.44,9.86,-0.58,8.5,10.96,10.5,9.8,9.58,10.14,,Omega Timing (2023) - diamond league race analysis,"Tortu, Filippo (ITA) (1998)_FINAL - 2023 Memorial van Damme (Brussels, BEL)"
"Tortu, Filippo (ITA) (1998)","Heat 6 - 2023 World Athletics Championships (Budapest, HUN)",3 / 4,-0.5 m/s,23-Aug-23,0.179,10.64,20.46,20.46,34.0,34.0,20.46,13.54,-6.92,9.4,10.18,9.78,87.0,4.89,7.39,87.0,Seiko Timing (2023) - world championship race analysis,"Tortu, Filippo (ITA) (1998)_Heat 6 - 2023 World Athletics Championships (Budapest, HUN)_87"
"Tortu, Filippo (ITA) (1998)","FINAL - 2023 Golden Gala Pietro Mennea (Firenze, ITA)",7 / 4,0.0 m/s,02-Jun-23,0.159,5.92,10.56,15.36,20.41,20.41,10.56,9.85,-0.71,8.45,10.78,10.42,9.9,9.47,10.15,87.0,Omega Timing (2023) - diamond league race analysis,"Tortu, Filippo (ITA) (1998)_FINAL - 2023 Golden Gala Pietro Mennea (Firenze, ITA)_87"
"Tortu, Filippo (ITA) (1998)","Semi-Final 3 - 2022 World Athletics Championships (Eugene, OR)",5 / 3,0.3 m/s,19-Jul-22,0.146,10.45,20.1,20.1,53.0,53.0,20.1,32.9,12.8,9.57,10.36,9.95,85.2,4.98,3.04,,Timing by Seiko (2022) - world athletics championships race analysis,"Tortu, Filippo (ITA) (1998)_Semi-Final 3 - 2022 World Athletics Championships (Eugene, OR)"
"Tortu, Filippo (ITA) (1998)","Heat 6 - 2022 World Athletics Championships (Eugene, OR)",5 / 1,1.0 m/s,18-Jul-22,0.148,10.56,20.18,20.18,51.0,51.0,20.18,30.82,10.64,9.47,10.4,9.91,84.5,4.96,3.24,,Timing by Seiko (2022) - world athletics championships race analysis,"Tortu, Filippo (ITA) (1998)_Heat 6 - 2022 World Athletics Championships (Eugene, OR)"
"Tortu, Filippo (ITA) (1998)","FINAL - 2022 Golden Gala Pietro Mennea (Rome, ITA)",6 / 3,-0.1 m/s,09-Jun-22,0.174,5.92,10.58,15.33,20.4,20.4,10.58,9.82,-0.76,8.45,10.73,10.53,9.86,9.45,10.18,,Omega Timing (2022) - diamond league race analysis,"Tortu, Filippo (ITA) (1998)_FINAL - 2022 Golden Gala Pietro Mennea (Rome, ITA)"
"Tortu, Filippo (ITA) (1998)","FINAL - 2022 Doha Diamond League (Doha, QAT)",1 / 7,2.1 m/s,13-May-22,0.139,5.8,10.7,15.4,20.41,20.41,10.7,9.71,-0.99,8.62,10.2,10.64,9.98,9.35,10.3,,Omega Timing (2022) - diamond league race analysis,"Tortu, Filippo (ITA) (1998)_FINAL - 2022 Doha Diamond League (Doha, QAT)"
"Tortu, Filippo (ITA) (1998)","Semi-Final 1 - 2017 IAAF World Championships (London, GBR)",3 / 6,2.1 m/s,09-Aug-17,0.169,10.4,15.26,20.44,20.62,36.0,15.26,5.36,-9.9,9.62,10.29,9.65,9.7,6.55,18.66,88.0,Omega Timing (2022) - diamond league race analysis,"Tortu, Filippo (ITA) (1998)_Semi-Final 1 - 2017 IAAF World Championships (London, GBR)_88"
"Toyoda, Hayate (JPN) (2001)","FINAL - 2018 Japanese National Youth (U18) Championships (Nagano, JPN)",3 / 4,0.1 m/s,21-Oct-18,0.153,6.16,11.0,16.09,21.43,21.43,11.0,10.43,-0.57,8.12,10.33,9.82,9.36,9.09,9.59,98.0,,"Toyoda, Hayate (JPN) (2001)_FINAL - 2018 Japanese National Youth (U18) Championships (Nagano, JPN)_98"
"Toyoda, Hayate (JPN) (2001)","FINAL - 2018 Japanese National High School Championships (Nagoya, JPN)",8 / 8,-1.6 m/s,05-Aug-18,,6.22,11.31,16.41,21.78,21.78,11.31,10.47,-0.84,8.04,9.82,9.8,9.31,8.84,9.55,,,"Toyoda, Hayate (JPN) (2001)_FINAL - 2018 Japanese National High School Championships (Nagoya, JPN)"
"Tracey, Tyquendo (JAM) (1993)","FINAL - 2024 adidas Atlanta City Games (Atlanta, GA) (straightaway)",5 / 5,0.3 m/s,18-May-24,,5.79,10.19,15.9,15.9,55.0,10.19,5.71,-4.48,8.64,11.36,8.76,12.58,9.81,17.51,,(2015) - www.windsprint/Splittider/,"Tracey, Tyquendo (JAM) (1993)_FINAL - 2024 adidas Atlanta City Games (Atlanta, GA) (straightaway)"
"Tracey, Tyquendo (JAM) (1993)","A FINAL - 2015 Windsprint (Sundsvall, SWE)",3 / 1,0.4 m/s,26-Jul-15,,10.74,20.8,20.8,31.0,31.0,20.8,10.2,-10.6,9.31,9.94,9.62,9.31,4.81,9.8,,(2015) - www.windsprint/Splittider/,"Tracey, Tyquendo (JAM) (1993)_A FINAL - 2015 Windsprint (Sundsvall, SWE)"
"Traore, Cheickna (CIV) (2000)","Heat 1 - 2024 Olympic Games (Paris, FRA)",2 / 6,0.1 m/s,05-Aug-24,0.171,5.88,10.54,15.37,20.54,20.54,10.54,10.0,-0.54,8.5,10.73,10.35,9.67,9.49,10.0,83.0,Omega Timing (2024) - diamond league race analysis,"Traore, Cheickna (CIV) (2000)_Heat 1 - 2024 Olympic Games (Paris, FRA)_83"
"Traore, Cheickna (CIV) (2000)","FINAL - 2024 Meeting de Paris (Paris, FRA)",8 / --,-0.4 m/s,07-Jul-24,0.17,,,,,,,,,8.53,9.03,8.77,,,,,Omega Timing (2024) - diamond league race analysis,"Traore, Cheickna (CIV) (2000)_FINAL - 2024 Meeting de Paris (Paris, FRA)"
"Trimble, Jamiel (USA) (1995)","FINAL - 2019 The Match - Europe v USA (Minsk, BLR)",4 / 4,-0.1 m/s,10-Sep-19,0.157,10.72,20.88,20.88,44.0,44.0,20.88,23.12,2.24,9.33,9.84,9.58,94.7,4.79,4.33,,European Athletics (2019) - race analysis,"Trimble, Jamiel (USA) (1995)_FINAL - 2019 The Match - Europe v USA (Minsk, BLR)"
"Trimble, Jamiel (USA) (1995)","FINAL - 2019 USATF National Championships (Des Moines, IA)",/ 4,-0.7 m/s,28-Jul-19,,10.8,20.5,20.46,4.0,4.0,20.5,-16.5,-37.0,9.26,10.31,9.78,9.26,4.88,,,European Athletics (2019) - race analysis,"Trimble, Jamiel (USA) (1995)_FINAL - 2019 USATF National Championships (Des Moines, IA)"
"Trouabal, Jean-Charles (FRA) (1965)","FINAL - 1993 IAAF World Championships (Stuttgart, GER)",8 / 6,0.3 m/s,20-Aug-93,,5.87,10.46,15.15,20.2,20.2,10.46,9.74,-0.72,8.52,10.89,10.66,9.9,9.56,10.27,,,"Trouabal, Jean-Charles (FRA) (1965)_FINAL - 1993 IAAF World Championships (Stuttgart, GER)"
"Trouabal, Jean-Charles (FRA) (1965)","FINAL - 1991 IAAF World Championships (Tokyo, JPN)",7 / 6,-3.4 m/s,27-Aug-91,,10.51,20.58,20.58,76.0,76.0,20.58,55.42,34.84,9.51,9.93,9.72,85.2,4.86,1.8,,Federle (2003) - http://www.fgs.uni-halle.de,"Trouabal, Jean-Charles (FRA) (1965)_FINAL - 1991 IAAF World Championships (Tokyo, JPN)"
"Trouabal, Jean-Charles (FRA) (1965)","FINAL - 1991 European Cup (Frankfurt, GER)",/ 1,-1.6 m/s,30-Jun-91,,10.52,20.6,20.6,1.0,1.0,20.6,-19.6,-40.2,9.51,9.92,9.71,9.51,4.85,,,Federle (2003) - http://www.fgs.uni-halle.de,"Trouabal, Jean-Charles (FRA) (1965)_FINAL - 1991 European Cup (Frankfurt, GER)"
"Truskauskas, Gediminas (LTU) (1998)","Heat 1 - 2023 World Athletics Championships (Budapest, HUN)",6 / 7,0.0 m/s,23-Aug-23,0.147,10.86,20.9,20.9,67.0,67.0,20.9,46.1,25.2,9.21,9.96,9.57,84.2,4.78,2.17,,Seiko Timing (2023) - world championship race analysis,"Truskauskas, Gediminas (LTU) (1998)_Heat 1 - 2023 World Athletics Championships (Budapest, HUN)"
"Tsákonas, Likoúrgos-Stéfanos (GRE) (1990)","Semi-Final 3 - 2017 IAAF World Championships (London, GBR)",9 / 6,0.3 m/s,09-Aug-17,0.156,10.38,15.22,20.57,20.73,96.0,15.22,5.51,-9.71,9.63,10.33,9.35,9.65,6.57,18.15,,,"Tsákonas, Likoúrgos-Stéfanos (GRE) (1990)_Semi-Final 3 - 2017 IAAF World Championships (London, GBR)"
"Tsuda, Iban (JPN) (2005)","FINAL - 2023 Japanese National High School Championsips (Sapporo, JPN)",9 / 7,2.9 m/s,05-Aug-23,0.22,5.99,10.98,15.94,21.23,21.23,10.98,10.25,-0.73,8.35,10.02,10.08,9.45,9.11,9.76,,,"Tsuda, Iban (JPN) (2005)_FINAL - 2023 Japanese National High School Championsips (Sapporo, JPN)"
"Tsuda, Iban (JPN) (2005)","FINAL - 2022 Japanese National High School Championships (Naruto, JPN)",5 / 4,-2.3 m/s,06-Aug-22,0.148,5.95,10.87,16.03,21.53,21.53,10.87,10.66,-0.21,8.4,10.16,9.69,9.09,9.2,9.38,,,"Tsuda, Iban (JPN) (2005)_FINAL - 2022 Japanese National High School Championships (Naruto, JPN)"
"Tsukamoto, Justin Junpei (JPN) (2001)","FINAL - 2018 Japanese National High School Championships (Nagoya, JPN)",5 / 2,-1.6 m/s,05-Aug-18,,5.89,10.82,15.8,21.15,21.15,10.82,10.33,-0.49,8.49,10.14,10.04,9.35,9.24,9.68,,,"Tsukamoto, Justin Junpei (JPN) (2001)_FINAL - 2018 Japanese National High School Championships (Nagoya, JPN)"
"Tuffour, Emmanuel (GHA) (1966)","Semi-Final 2 - 1993 IAAF World Championships (Stuttgart, GER)",8 / 3,0.1 m/s,19-Aug-93,,6.02,10.68,15.4,20.44,20.44,10.68,9.76,-0.92,8.31,10.73,10.59,9.92,9.36,10.25,,,"Tuffour, Emmanuel (GHA) (1966)_Semi-Final 2 - 1993 IAAF World Championships (Stuttgart, GER)"
"Turner, Andy (GBR) (1980)","B FINAL - 2009 Great CityGames (Manchester, GBR) (150m straightaway)",/ 1,1.1 m/s,17-May-09,,10.32,15.2,15.2,1.0,1.0,15.2,-14.2,-29.4,9.69,10.25,9.87,9.69,6.58,,,Jalava (2009) - www.tilastopaja.org,"Turner, Andy (GBR) (1980)_B FINAL - 2009 Great CityGames (Manchester, GBR) (150m straightaway)"
"Turner, Andy (GBR) (1980)","Heat 1 - 2009 Great CityGames (Manchester, GBR) (150m straightaway)",/ 3,-0.8 m/s,17-May-09,,10.63,15.73,15.73,3.0,3.0,15.73,-12.73,-28.46,9.41,9.8,9.54,9.41,6.36,,,Jalava (2009) - www.tilastopaja.org,"Turner, Andy (GBR) (1980)_Heat 1 - 2009 Great CityGames (Manchester, GBR) (150m straightaway)"
"Uematsu, Kota (JPN) (2002)","FINAL - 2023 Japanese National High School Championsips (Sapporo, JPN)",3 / 3,2.9 m/s,05-Aug-23,0.201,6.06,11.07,15.98,21.12,21.12,11.07,10.05,-1.02,8.25,9.98,10.18,9.73,9.03,9.95,,,"Uematsu, Kota (JPN) (2002)_FINAL - 2023 Japanese National High School Championsips (Sapporo, JPN)"
"Uematsu, Kota (JPN) (2002)","FINAL - 2021 Japanese U16 National Championships (Matsuyama, JPN) (150m)",7 / 1,-0.9 m/s,23-Oct-21,,6.08,10.88,15.97,15.97,71.0,10.88,5.09,-5.79,8.22,10.42,9.82,12.52,9.19,19.65,,,"Uematsu, Kota (JPN) (2002)_FINAL - 2021 Japanese U16 National Championships (Matsuyama, JPN) (150m)"
"Ueyama, Koki (JPN) (1999)","Repechage 2 - 2024 Olympic Games (Paris, FRA)",6 / 4,0.6 m/s,06-Aug-24,0.153,5.95,10.65,15.58,20.92,20.92,10.65,10.27,-0.38,8.4,10.64,10.14,9.36,9.39,9.74,90.0,,"Ueyama, Koki (JPN) (1999)_Repechage 2 - 2024 Olympic Games (Paris, FRA)_90"
"Ueyama, Koki (JPN) (1999)","Heat 3 - 2024 Olympic Games (Paris, FRA)",7 / 6,-0.1 m/s,05-Aug-24,0.152,5.91,10.55,15.42,20.84,20.84,10.55,10.29,-0.26,8.46,10.78,10.27,9.23,9.48,9.72,90.0,,"Ueyama, Koki (JPN) (1999)_Heat 3 - 2024 Olympic Games (Paris, FRA)_90"
"Ueyama, Koki (JPN) (1999)","Heat 4 - 2023 World Athletics Championships (Budapest, HUN)",5 / 4,-0.2 m/s,23-Aug-23,0.147,5.91,10.59,15.42,20.66,20.66,10.59,10.07,-0.52,8.46,10.68,10.35,9.54,9.44,9.93,90.0,,"Ueyama, Koki (JPN) (1999)_Heat 4 - 2023 World Athletics Championships (Budapest, HUN)_90"
